State,Year,Area,Season,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,ALLSKY_SFC_SW_DWN,RH2M,WS2M,NDVI_SeasonalMean,Mean_SOC,Median_SOC,Min_SOC,Max_SOC,Std_SOC,NDVI_Rain_Ratio,NDVI_Temp_Interaction,Temp_NDVI,NDVI_Level,Year_Since_2000,Temp_Range,Temp_Stress,Rain_Per_Ha,HTI,Solar_Temp_Interaction,Wind_Temp_Interaction,SOC_Range,SOC_Skew,SOC_Variability,SOC_Stability,Season_Num,Year_Season,Region,Agro_Zone,Area_Rain,Rain_Humidity,NDVI_div_Rain,GDD,Rain_CV,Rain_Anomaly,Temp_Anomaly
Chandigarh,2011,600,Kharif,28.54581967213115,32.636721311475405,24.65122950819672,1120.7,2415.25,73.59778688524591,1.6708196721311477,0.5050329342243784,2.126695009944596,2.0,2.0,6.25,0.3842037355656483,0.00045064061231723726,14.416579068856379,14.41657906885638,high,11,7.985491803278684,0.0,1.8678333333302204,84.60958654038448,68945.29096311476,47.694917065305034,4.25,0.3297599629746127,0.18065765593487698,5.535331394010482,1,2011_Kharif,North,Urban,672420.0,82481.0397622951,0.00045064061231723726,18.54581967213115,,0.0,0.0
Chandigarh,2012,575,Kharif,30.87188524590164,35.985163934426225,26.06286885245901,761.14,2549.54,58.65032786885246,1.8951639344262297,0.4571699416363171,2.126695009944596,2.0,2.0,6.25,0.3842037355656483,0.0006006384392302553,14.113697976071931,14.113697976071933,low,12,9.922295081967214,0.9851639344262253,1.3237217391281326,82.58452568120622,78709.10630983608,58.50728350577803,4.25,0.3297599629746127,0.18065765593487698,5.535331394010482,1,2012_Kharif,North,Urban,437655.5,44641.11055409836,0.0006006384392302553,20.87188524590164,0.2702114039909502,-179.7800000000001,1.1630327868852461
Chandigarh,2012,575,Rabi,18.925164319248825,26.7749765258216,13.223896713615025,87.2,3528.42,41.122769953051645,1.888967136150235,0.3800363806016983,2.126695009944596,2.0,2.0,6.25,0.3842037355656483,0.0043582153738227075,7.192250950179727,7.192250950179727,low,12,13.551079812206575,0.0,0.15165217391277974,186.44065331706503,66775.92828732394,35.749013445304065,4.25,0.3297599629746127,0.18065765593487698,5.535331394010482,2,2012_Rabi,North,Urban,50140.0,3585.9055399061035,0.0043582153738227075,8.925164319248825,0.7993622389950804,-569.1466666666666,-7.1891254265117155
Chandigarh,2013,575,Kharif,28.820409836065576,32.81147540983606,24.909918032786884,1174.1,2440.15,72.61442622950818,1.5352459016393445,0.5229577745333753,2.126695009944596,2.0,2.0,6.25,0.3842037355656483,0.0004454116127526871,15.071857389008654,15.071857389008654,very_high,13,7.90155737704918,0.0,2.0419130434747097,84.667428874025,70326.12306147542,44.24641608438593,4.25,0.3297599629746127,0.18065765593487698,5.535331394010482,1,2013_Kharif,North,Urban,675107.5,85256.59783606556,0.0004454116127526871,18.820409836065576,0.8138395644657589,388.31499999999994,2.0295900677287797
Chandigarh,2013,575,Rabi,18.963962264150943,26.33570754716981,13.638632075471698,223.1,3406.2,49.07466981132075,1.8521698113207548,0.4129733027432505,2.126695009944596,2.0,2.0,6.25,0.3842037355656483,0.001851068143170773,7.831610129324786,7.831610129324786,low,13,12.697075471698113,0.0,0.3879999999993252,179.6143628834039,64595.04826415094,35.124478408686365,4.25,0.3297599629746127,0.18065765593487698,5.535331394010482,2,2013_Rabi,North,Urban,128282.5,10948.55883490566,0.001851068143170773,8.963962264150943,1.1968518693590475,-450.1479999999999,-6.261486003348683
Chandigarh,2014,550,Rabi,18.753301886792453,26.376603773584907,13.247311320754717,266.69,3408.74,46.53712264150944,1.872877358490566,0.4100343209514627,2.126695009944596,2.0,2.0,6.25,0.3842037355656483,0.0015374941728220977,7.689497404748728,7.689497404748728,low,14,13.12929245283019,0.0,0.48489090909002747,181.76745729342383,63925.1302735849,35.122634500711996,4.25,0.3297599629746127,0.18065765593487698,5.535331394010482,2,2014_Rabi,North,Urban,146679.5,12410.985237264153,0.0015374941728220977,8.753301886792453,0.9680675371417405,-338.79833333333335,-5.393455317255977
Chandigarh,2015,550,Kharif,29.421639344262296,34.33295081967213,24.787950819672133,840.64,2563.15,62.88696721311475,1.7577868852459015,0.4934479073898877,2.126695009944596,2.0,2.0,6.25,0.3842037355656483,0.0005869907539366444,14.518046366406217,14.518046366406216,high,15,9.544999999999995,0.0,1.5284363636335847,87.11785124960205,75412.07488524591,51.71697178177909,4.25,0.3297599629746127,0.18065765593487698,5.535331394010482,1,2015_Kharif,North,Urban,462352.0,52865.30011803279,0.0005869907539366444,19.421639344262296,0.7771398193017913,201.55857142857144,4.521327548754741
Chandigarh,2015,550,Rabi,19.41617924528302,26.784575471698112,14.022783018867925,278.99,3382.2,47.27948113207548,1.8676415094339625,0.4323330426679462,2.126695009944596,2.0,2.0,6.25,0.3842037355656483,0.0015496363406086117,8.394255850099434,8.394255850099434,low,15,12.761792452830187,0.0,0.5072545454536233,174.19493078935596,65669.40144339621,36.26246231310075,4.25,0.3297599629746127,0.18065765593487698,5.535331394010482,2,2015_Rabi,North,Urban,153444.5,13190.50244103774,0.0015496363406086117,9.416179245283018,0.709527019236333,-315.0799999999999,-4.798615981446471
Chandigarh,2016,550,Kharif,30.18532786885246,34.943360655737706,25.51270491803279,712.46,2542.28,63.45172131147541,1.5940983606557375,0.4958072924372616,2.126695009944596,2.0,2.0,6.25,0.3842037355656483,0.0006959089526942786,14.966105681986756,14.966105681986756,high,16,9.430655737704917,0.0,1.295381818179463,84.22237488893064,76739.55533442624,48.11838167159365,4.25,0.3297599629746127,0.18065765593487698,5.535331394010482,1,2016_Kharif,North,Urban,391853.0,45206.81336557377,0.0006959089526942786,20.18532786885246,0.48195599417810886,105.2355555555556,5.307140126331532
Chandigarh,2017,546,Kharif,29.20032786885245,33.70877049180328,24.90745901639344,991.37,2491.03,67.66360655737704,1.6227049180327868,0.4679782611285779,2.126695009944596,2.0,2.0,6.25,0.3842037355656483,0.0004720520704964905,13.665118660449922,13.665118660449922,moderate,17,8.80131147540984,0.0,1.8156959706926452,85.30828869808123,72738.89273114753,47.383515640956716,4.25,0.3297599629746127,0.18065765593487698,5.535331394010482,1,2017_Kharif,North,Urban,541288.02,67079.66963278687,0.0004720520704964905,19.20032786885245,0.5431258582313304,345.7310000000001,3.889926113698369
