State,Year,Area,Production,Yield,Season,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,ALLSKY_SFC_SW_DWN,RH2M,WS2M,Mean_SOC,Median_SOC,Min_SOC,Max_SOC,Std_SOC,Temp_NDVI,Prod_Per_Ha,Area_Per_Ton,High_Yield_Flag,Year_Since_2000,Temp_Range,Temp_Stress,Rain_Per_Ha,HTI,Solar_Temp_Interaction,Wind_Temp_Interaction,SOC_Range,SOC_Skew,SOC_Variability,SOC_Stability,SOC_Prod_Index,Season_Num,Year_Season,Region,Agro_Zone,Area_Rain,Rain_Humidity,HighYieldFlag,Season_Code,TempStressFlag,SeasonCode,AgroZone,NDVI_SeasonalMean,NDVI_SeasonalMean_lag1,NDVI_preseason_mean,NDVI_Class,NDVI_div_Rain
Chandigarh,2011,600,2725,4.54,Kharif,28.54581967213115,32.636721311475405,24.65122950819672,1120.7,2415.25,73.59778688524591,1.6708196721311477,2.126695009944596,2.0,2.0,6.25,0.3842037355656483,14.41657906885638,4.541666666659097,0.2201834862384513,0,11,7.985491803278684,0,1.8678333333302204,84.60958654038448,68945.29096311476,47.69491706530504,4.25,0.3297599629746127,0.1806576559348769,5.535331394010482,0.083333333256458,1,2011_Kharif,North,Urban,672420.0,82481.0397622951,0,1,0,1,Urban,0.5050329342243784,,0.3467756145791837,moderate,0.00045064061191553293
Chandigarh,2012,575,2590,4.5,Kharif,30.87188524590164,35.985163934426225,26.06286885245901,761.14,2549.54,58.65032786885246,1.8951639344262297,2.126695009944596,2.0,2.0,6.25,0.3842037355656483,14.113697976071933,4.5043478260791225,0.2220077220076363,0,12,9.922295081967214,0,1.3237217391281326,82.58452568120622,78709.10630983608,58.50728350577803,4.25,0.3297599629746127,0.1806576559348769,5.535331394010482,0.0086956521665652,1,2012_Kharif,North,Urban,437655.5,44641.11055409836,0,1,0,1,Urban,0.4571699416363171,0.5050329342243784,0.3053819328657601,moderate,0.0006006384384419143
Chandigarh,2012,575,2590,4.5,Rabi,18.925164319248825,26.7749765258216,13.223896713615025,87.2,3528.42,41.122769953051645,1.888967136150235,2.126695009944596,2.0,2.0,6.25,0.3842037355656483,7.192250950179727,4.5043478260791225,0.2220077220076363,0,12,13.551079812206575,0,0.1516521739127797,186.44065331706503,66775.92828732394,35.749013445304065,4.25,0.3297599629746127,0.1806576559348769,5.535331394010482,0.0086956521665652,2,2012_Rabi,North,Urban,50140.0,3585.9055399061035,0,2,0,2,Urban,0.3840011831758523,0.38720749540014027,0.5246315960564502,low,0.004403683242800104
Chandigarh,2013,575,2600,4.52,Kharif,28.820409836065576,32.81147540983606,24.909918032786884,1174.1,2440.15,72.61442622950818,1.5352459016393445,2.126695009944596,2.0,2.0,6.25,0.3842037355656483,15.071857389008654,4.521739130426919,0.2211538461537611,0,13,7.90155737704918,0,2.0419130434747097,84.667428874025,70326.12306147542,44.24641608438593,4.25,0.3297599629746127,0.1806576559348769,5.535331394010482,0.04347826082951,1,2013_Kharif,North,Urban,675107.5,85256.59783606556,0,1,0,1,Urban,0.5229577745333753,0.4571699416363171,0.3229824908951234,moderate,0.00044541161237370214
Chandigarh,2013,575,2600,4.52,Rabi,18.963962264150943,26.33570754716981,13.638632075471698,223.1,3406.2,49.07466981132075,1.8521698113207548,2.126695009944596,2.0,2.0,6.25,0.3842037355656483,7.831610129324786,4.521739130426919,0.2211538461537611,0,13,12.697075471698112,0,0.3879999999993252,179.6143628834039,64595.04826415094,35.124478408686365,4.25,0.3297599629746127,0.1806576559348769,5.535331394010482,0.04347826082951,2,2013_Rabi,North,Urban,128282.5,10948.55883490566,0,2,0,2,Urban,0.42006078809347663,0.3840011831758523,0.5252136128577936,moderate,0.0018828363344268952
Chandigarh,2014,550,2500,4.55,Rabi,18.753301886792453,26.376603773584907,13.247311320754717,266.69,3408.74,46.53712264150944,1.872877358490566,2.126695009944596,2.0,2.0,6.25,0.3842037355656483,7.689497404748728,4.545454545446281,0.219999999999912,0,14,13.12929245283019,0,0.4848909090900274,181.76745729342383,63925.1302735849,35.122634500712,4.25,0.3297599629746127,0.1806576559348769,5.535331394010482,0.0909090908237146,2,2014_Rabi,North,Urban,146679.5,12410.985237264153,0,2,0,2,Urban,0.40916493582175306,0.42006078809347663,0.477239380014795,moderate,0.0015342342580806135
Chandigarh,2015,550,2530,4.6,Kharif,29.421639344262296,34.33295081967213,24.787950819672133,840.64,2563.15,62.88696721311475,1.7577868852459015,2.126695009944596,2.0,2.0,6.25,0.3842037355656483,14.518046366406216,4.599999999991637,0.2173913043477401,0,15,9.544999999999996,0,1.5284363636335847,87.11785124960205,75412.07488524591,51.71697178177909,4.25,0.3297599629746127,0.1806576559348769,5.535331394010482,0.1999999998120293,1,2015_Kharif,North,Urban,462352.0,52865.30011803279,0,1,0,1,Urban,0.49344790738988775,0.4744725578657601,0.3628734176719969,moderate,0.0005869907532390762
Chandigarh,2015,550,2530,4.6,Rabi,19.41617924528302,26.784575471698112,14.022783018867925,278.99,3382.2,47.27948113207548,1.8676415094339625,2.126695009944596,2.0,2.0,6.25,0.3842037355656483,8.394255850099434,4.599999999991637,0.2173913043477401,0,15,12.761792452830187,0,0.5072545454536233,174.19493078935596,65669.40144339621,36.26246231310075,4.25,0.3297599629746127,0.1806576559348769,5.535331394010482,0.1999999998120293,2,2015_Rabi,North,Urban,153444.5,13190.50244103774,0,2,0,2,Urban,0.4346831004867953,0.40916493582175306,0.5302961713281739,moderate,0.0015580597832493476
Chandigarh,2016,550,2585,4.7,Kharif,30.18532786885246,34.943360655737706,25.51270491803279,712.46,2542.28,63.45172131147541,1.5940983606557375,2.126695009944596,2.0,2.0,6.25,0.3842037355656483,14.966105681986756,4.699999999991455,0.2127659574467262,0,16,9.430655737704916,0,1.295381818179463,84.22237488893064,76739.55533442624,48.11838167159365,4.25,0.3297599629746127,0.1806576559348769,5.535331394010482,0.3999999996239416,1,2016_Kharif,North,Urban,391853.0,45206.81336557377,0,1,0,1,Urban,0.4958072924372616,0.49344790738988775,0.330065507810277,moderate,0.0006959089517184862
Chandigarh,2017,546,2566,4.7,Kharif,29.20032786885245,33.70877049180328,24.90745901639344,991.37,2491.03,67.66360655737704,1.6227049180327868,2.126695009944596,2.0,2.0,6.25,0.3842037355656483,13.665118660449922,4.6996336996250925,0.2127825409196365,0,17,8.80131147540984,0,1.8156959706926448,85.30828869808123,72738.89273114753,47.38351564095672,4.25,0.3297599629746127,0.1806576559348769,5.535331394010482,0.3992673988919036,1,2017_Kharif,North,Urban,541288.02,67079.66963278687,0,1,0,1,Urban,0.46797826112857793,0.4958072924372616,0.3283395375718435,moderate,0.00047205207002080544
